go_id	type
http://purl.obolibrary.org/obo/GO_0010944	biological_process
http://purl.obolibrary.org/obo/GO_0043393	biological_process
http://purl.obolibrary.org/obo/GO_0033235	biological_process
http://purl.obolibrary.org/obo/GO_0006476	biological_process
http://purl.obolibrary.org/obo/GO_0070555	biological_process
http://purl.obolibrary.org/obo/GO_0005776	cellular_component
http://purl.obolibrary.org/obo/GO_0005770	cellular_component
http://purl.obolibrary.org/obo/GO_0030424	cellular_component
http://purl.obolibrary.org/obo/GO_0030659	cellular_component
http://purl.obolibrary.org/obo/GO_0030425	cellular_component
http://purl.obolibrary.org/obo/GO_0005814	cellular_component
http://purl.obolibrary.org/obo/GO_0045505	molecular_function
http://purl.obolibrary.org/obo/GO_0016234	cellular_component
http://purl.obolibrary.org/obo/GO_0031648	biological_process
http://purl.obolibrary.org/obo/GO_0099524	cellular_component
http://purl.obolibrary.org/obo/GO_0099523	cellular_component
http://purl.obolibrary.org/obo/GO_0048487	molecular_function
http://purl.obolibrary.org/obo/GO_0034452	molecular_function
http://purl.obolibrary.org/obo/GO_0031072	molecular_function
http://purl.obolibrary.org/obo/GO_0019900	molecular_function
http://purl.obolibrary.org/obo/GO_0005522	molecular_function
http://purl.obolibrary.org/obo/GO_0044325	molecular_function
http://purl.obolibrary.org/obo/GO_0031587	biological_process
http://purl.obolibrary.org/obo/GO_0007030	biological_process
http://purl.obolibrary.org/obo/GO_0006890	biological_process
http://purl.obolibrary.org/obo/GO_0047496	biological_process
http://purl.obolibrary.org/obo/GO_0099111	biological_process
http://purl.obolibrary.org/obo/GO_2001237	biological_process
http://purl.obolibrary.org/obo/GO_1905337	biological_process
http://purl.obolibrary.org/obo/GO_1904504	biological_process
http://purl.obolibrary.org/obo/GO_1901526	biological_process
http://purl.obolibrary.org/obo/GO_0045724	biological_process
http://purl.obolibrary.org/obo/GO_1905289	biological_process
http://purl.obolibrary.org/obo/GO_2000479	biological_process
http://purl.obolibrary.org/obo/GO_0043666	biological_process
http://purl.obolibrary.org/obo/GO_0042297	biological_process
http://purl.obolibrary.org/obo/GO_0044753	cellular_component
http://purl.obolibrary.org/obo/GO_0044754	cellular_component
http://purl.obolibrary.org/obo/GO_0099400	cellular_component
http://purl.obolibrary.org/obo/GO_0005902	cellular_component
http://purl.obolibrary.org/obo/GO_0097487	cellular_component
http://purl.obolibrary.org/obo/GO_0043204	cellular_component
http://purl.obolibrary.org/obo/GO_0016323	cellular_component
http://purl.obolibrary.org/obo/GO_0071407	biological_process
http://purl.obolibrary.org/obo/GO_0071356	biological_process
http://purl.obolibrary.org/obo/GO_0046777	biological_process
http://purl.obolibrary.org/obo/GO_0031398	biological_process
http://purl.obolibrary.org/obo/GO_0032473	cellular_component
http://purl.obolibrary.org/obo/GO_0036479	molecular_function
http://purl.obolibrary.org/obo/GO_1903125	biological_process
http://purl.obolibrary.org/obo/GO_0031966	cellular_component
http://purl.obolibrary.org/obo/GO_1990909	cellular_component
http://purl.obolibrary.org/obo/GO_0030159	molecular_function
http://purl.obolibrary.org/obo/GO_0032839	cellular_component
http://purl.obolibrary.org/obo/GO_0043025	cellular_component
http://purl.obolibrary.org/obo/GO_0070971	cellular_component
http://purl.obolibrary.org/obo/GO_0005798	cellular_component
http://purl.obolibrary.org/obo/GO_0030426	cellular_component
http://purl.obolibrary.org/obo/GO_0043005	cellular_component
http://purl.obolibrary.org/obo/GO_0046039	biological_process
http://purl.obolibrary.org/obo/GO_0018107	biological_process
http://purl.obolibrary.org/obo/GO_0043195	cellular_component
http://purl.obolibrary.org/obo/GO_0003779	molecular_function
http://purl.obolibrary.org/obo/GO_0030276	molecular_function
http://purl.obolibrary.org/obo/GO_0000149	molecular_function
